emission_cap,500,1000,2000
200,-45718.291851964445,-95118.29185196444,-193918.29185196443
300,-19283.51076988889,-43739.85995322222,-92652.55831988889
None,-11482.394444611113,-28628.227777944445,-62919.89444461112
