cap_factor,demand_scale,emission_cap,shortage_cost,status,profit,total_production,total_shortage,total_setups,A_cap,B_cap
1.3,1.0,None,2000,Optimal,6521.4,300.0,0.0,7.0,390,312
1.3,1.0,200,500,Optimal,-44969.3333336,202.5,97.5,6.0,390,312
1.3,1.0,200,1000,Optimal,-93719.3333336,202.5,97.5,6.0,390,312
1.3,1.0,200,2000,Optimal,-191219.3333336,202.5,97.5,6.0,390,312
1.3,1.0,300,500,Optimal,-5540.0,277.5,22.5,8.0,390,312
1.3,1.0,300,1000,Optimal,-16790.0,277.5,22.5,8.0,390,312
1.3,1.0,300,2000,Optimal,-39290.0,277.5,22.5,8.0,390,312
1.3,1.2,None,500,Optimal,7939.200000000001,360.0,0.0,8.0,390,312
1.3,1.2,None,1000,Optimal,7939.200000000001,360.0,0.0,8.0,390,312
1.3,1.2,None,2000,Optimal,7939.200000000001,360.0,0.0,8.0,390,312
1.3,1.2,200,500,Optimal,-69441.46666664,213.0,147.0,5.0,390,312
1.3,1.2,200,1000,Optimal,-142941.46666664002,213.0,147.0,5.0,390,312
1.3,1.2,200,2000,Optimal,-289941.46666664,213.0,147.0,5.0,390,312
1.3,1.2,300,500,Optimal,-30055.840000000004,288.0,72.0,7.0,390,312
1.3,1.2,300,1000,Optimal,-66055.84,288.0,72.0,7.0,390,312
1.3,1.2,300,2000,Optimal,-138055.84,288.0,72.0,7.0,390,312
